"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.230897469650588,0.314106175842667,-0.735093695726131,0.463952894262901,NA,113
"scale(k)",-0.0154571294839553,0.110075403035946,-0.140423101416286,0.888599951565412,NA,113
"scale(m)",-0.182800178752483,0.108575739413717,-1.68361900862531,0.0952838436812679,NA,113
"sexfemale",0.00733349332735235,0.197712530826346,0.0370916972065543,0.970483685399686,NA,113
"income<50k",0.171893832102058,0.293497154052907,0.585674612950667,0.559375292384408,NA,113
"income>100k",-0.259662741229703,0.22345657740812,-1.16202773819209,0.247909759171583,NA,113
"eduBachelors",0.212090090565973,0.33975433238031,0.624245433693443,0.533846647102147,NA,113
"eduPost. Grad.",0.530921615462143,0.40066852381068,1.32508940411054,0.18807354072068,NA,113
"eduSome College",0.0742585093808748,0.316724873155008,0.234457460322455,0.815095285495558,NA,113
"raceOther",0.544398061408999,0.267187141564928,2.03751594564182,0.0441622973366736,NA,113
"k",NA,NA,NA,NA,0.00019,NA
"m",NA,NA,NA,NA,0.02678,NA
