"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.0682469770621492,0.197479910066103,0.345589468008694,0.729662988760417,NA,6215
"scale(logK)",-0.00604581734584099,0.013236974374595,-0.4567371043223,0.647876020995503,NA,6215
"scale(logM)",-0.0812715333504796,0.0135030853785198,-6.01873801966498,1.85831936958805e-09,NA,6215
"age",0.000636201381964311,0.00158673557144632,0.400949845338382,0.688470869285545,NA,6215
"femaleyes",0.0195038557024308,0.0239317938166462,0.814976756521466,0.415116923611625,NA,6215
"household.income[<50K]",0.0603254416242646,0.0390771281354746,1.54375320046871,0.122699177222258,NA,6215
"household.income[>=100K]",-0.0377384792947376,0.0303869516958359,-1.24193040725138,0.214309224295051,NA,6215
"high.educ< HS Diploma",0.0322634259292827,0.0827468360481577,0.389905251609931,0.696620005895637,NA,6215
"high.educBachelor",-0.244939029070621,0.0563436736933464,-4.34723213831805,1.40071426465606e-05,NA,6215
"high.educPost Graduate Degree",-0.371167161034164,0.0573191559177268,-6.4754470838147,1.01784863831074e-10,NA,6215
"high.educSome College",-0.124224681018339,0.0524675877221396,-2.36764612995388,0.0179321734132173,NA,6215
"marriedno",0.217210823385054,0.032735703493778,6.63528808618207,3.51303198007622e-11,NA,6215
"race.4levelAsian",-0.16624721717462,0.0844955102664572,-1.96752722896587,0.0491669771187278,NA,6215
"race.4levelBlack",0.237110478307342,0.0416190328597154,5.69716454264005,1.27412831426157e-08,NA,6215
"race.4levelOther/Mixed",0.0279849509744904,0.0340921095842056,0.820862988996594,0.411755879685072,NA,6215
"hispyes",0.0327489908367869,0.0352890997515305,0.928020013754151,0.353433319548724,NA,6215
"logK",NA,NA,NA,NA,3e-05,NA
"logM",NA,NA,NA,NA,0.00575,NA
