"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.137717915116368,0.191942206973018,-0.717496778265799,0.47309402030888,NA,6365
"scale(logK)",0.0164934535236296,0.0128453934792605,1.28399753189803,0.199189672886866,NA,6365
"scale(logM)",-0.0312849723292306,0.0131271877666674,-2.38321968766756,0.0171911828342361,NA,6365
"age",0.0015760835732032,0.00154144627243342,1.02247065070591,0.306597153232156,NA,6365
"femaleyes",0.0344008107495487,0.0232994278700622,1.47646590042457,0.139868457384777,NA,6365
"household.income[<50K]",0.122767611432611,0.0377006696120355,3.25637747806524,0.00113435945339132,NA,6365
"household.income[>=100K]",0.00514102428144284,0.0294526113843675,0.174552409440051,0.861436911694123,NA,6365
"high.educ< HS Diploma",-0.0183068390859042,0.0802661848034128,-0.228076606988873,0.819594030467581,NA,6365
"high.educBachelor",-0.280703260392129,0.0542698182998586,-5.17236410929461,2.38232244877311e-07,NA,6365
"high.educPost Graduate Degree",-0.306474425813988,0.0552036365099567,-5.5517071915853,2.94342732298306e-08,NA,6365
"high.educSome College",-0.129196476245745,0.0505038459043626,-2.55815124437057,0.0105460383680757,NA,6365
"marriedno",0.285384083992948,0.0316054660102239,9.02958000684534,2.24821764551027e-19,NA,6365
"race.4levelAsian",-0.133645400116661,0.0823423645201823,-1.62304545048502,0.104629335914138,NA,6365
"race.4levelBlack",0.399394422298823,0.0403163772970244,9.90650571990506,5.72084268068013e-23,NA,6365
"race.4levelOther/Mixed",0.0899355862247499,0.0330793461472088,2.71878367318753,0.00657005047419082,NA,6365
"hispyes",-0.0962671352033254,0.0342468359058399,-2.81097896074276,0.00495423749143667,NA,6365
"logK",NA,NA,NA,NA,0.00025,NA
"logM",NA,NA,NA,NA,0.00089,NA
