"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.0542212565405347,0.203487627388716,-0.26645972158768,0.789893849426382,NA,6350
"scale(logK)",0.0065808000975505,0.0136393403124176,0.48248668533911,0.629476927763161,NA,6350
"scale(logM)",-0.0505334425993526,0.0138540332364977,-3.64756181371248,0.000266867558205462,NA,6350
"age",0.00126347258131014,0.00163700821188236,0.771818108265505,0.440250958934892,NA,6350
"femaleyes",0.00997651314111034,0.0246006391664783,0.405538777817801,0.685095217801452,NA,6350
"household.income[<50K]",0.0892842931163686,0.0401846082690317,2.2218530169218,0.0263284418294501,NA,6350
"household.income[>=100K]",-0.0210614095988295,0.0312539735579539,-0.673879420796704,0.500412566701873,NA,6350
"high.educ< HS Diploma",0.0105963615548852,0.0849575218938476,0.124725407694037,0.900744900020836,NA,6350
"high.educBachelor",-0.18503192510369,0.0575689064200912,-3.21409484059809,0.00131512465785344,NA,6350
"high.educPost Graduate Degree",-0.215293351002339,0.0583770453857139,-3.68797957450285,0.000227934684015177,NA,6350
"high.educSome College",-0.0840632228078191,0.0536617063396684,-1.56654024893869,0.117272147743324,NA,6350
"marriedno",0.157945580493415,0.0336012002475127,4.70059341124599,2.64895076309717e-06,NA,6350
"race.4levelAsian",-0.108115019395412,0.0867481992192197,-1.24630851554851,0.212697243868337,NA,6350
"race.4levelBlack",-0.00874136497057806,0.0426377768888675,-0.205014557709279,0.837567338858539,NA,6350
"race.4levelOther/Mixed",6.14504480748022e-05,0.0349676461745274,0.00175735157488429,0.998597892373944,NA,6350
"hispyes",0.0240152639191701,0.0362672873139632,0.662174253929492,0.507883643066296,NA,6350
"logK",NA,NA,NA,NA,4e-05,NA
"logM",NA,NA,NA,NA,0.00208,NA
