"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.0646955678130251,0.197087975385298,-0.328257305837903,0.742728354015621,NA,6135
"scale(logK)",0.00803489141508285,0.0131390579087047,0.611527209249886,0.540873328973076,NA,6135
"scale(logM)",-0.0652049582036427,0.0133269391799031,-4.89271822459962,1.01998355857464e-06,NA,6135
"age",0.00161775020056941,0.00158161259201292,1.02284858424812,0.306419878035112,NA,6135
"femaleyes",0.0240145909548206,0.0237294114502452,1.01201797630646,0.311569473264812,NA,6135
"household.income[<50K]",0.106230129014066,0.038791734201065,2.73847331659509,0.0061903792653481,NA,6135
"household.income[>=100K]",-0.0218994287979442,0.0302245286812622,-0.724558157015062,0.468750839611474,NA,6135
"high.educ< HS Diploma",0.0376095839823038,0.0828578794633056,0.453904736953346,0.649913492030858,NA,6135
"high.educBachelor",-0.303430388284555,0.0559922660905716,-5.41914820510629,6.21710233238913e-08,NA,6135
"high.educPost Graduate Degree",-0.379223257890705,0.0568309922170999,-6.67282486362433,2.72969343854507e-11,NA,6135
"high.educSome College",-0.13447465947623,0.0521070145987854,-2.5807400502919,0.0098819538931267,NA,6135
"marriedno",0.26721367466826,0.0325515853916141,8.20892965591467,2.69763097023335e-16,NA,6135
"race.4levelAsian",-0.161580136284126,0.0839664567228644,-1.92434148814246,0.0543581137160191,NA,6135
"race.4levelBlack",0.276396975604475,0.0413843671403706,6.67877739115766,2.62187489849843e-11,NA,6135
"race.4levelOther/Mixed",0.0504521274838747,0.0337223481777573,1.49610362890305,0.134678225273926,NA,6135
"hispyes",-0.00805390146045816,0.0349940318455437,-0.230150715299294,0.817982350706613,NA,6135
"logK",NA,NA,NA,NA,6e-05,NA
"logM",NA,NA,NA,NA,0.00381,NA
