"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.166851014861097,0.178977253239064,0.932247041685402,0.35123752192575,NA,7871
"scale(logK)",0.00960193154420416,0.0118831260029623,0.808030777575745,0.419097333998427,NA,7871
"scale(logM)",-0.0751697098087423,0.0121252338746924,-6.19944411675519,5.95248077056059e-10,NA,7871
"age",-0.00156513277887256,0.00143577540808762,-1.09009582561191,0.275704374046095,NA,7871
"femaleyes",0.00413273347603363,0.0215947998342821,0.191376327067078,0.848235711884347,NA,7871
"household.income[<50K]",0.045944678684303,0.0342251442985037,1.34242468880728,0.179497128744885,NA,7871
"household.income[>=100K]",-0.108295760897182,0.0281754152604554,-3.84362607954802,0.000122185905221185,NA,7871
"high.educ< HS Diploma",-0.0611379136445665,0.0674175597745476,-0.906854443397521,0.36451159251312,NA,7871
"high.educBachelor",-0.00798978486454494,0.0486893290254731,-0.164097247270852,0.869658810823911,NA,7871
"high.educPost Graduate Degree",-0.0766274732135744,0.0496387836585942,-1.54370166965821,0.122700905081929,NA,7871
"high.educSome College",0.128372046967472,0.0444972987624627,2.88494022193916,0.00392553179300758,NA,7871
"marriedno",0.12081368760815,0.0290232376758251,4.16265369692996,3.17929483317221e-05,NA,7871
"race.4levelAsian",-0.191270113072113,0.0734318538602745,-2.60472946027021,0.00921200683674754,NA,7871
"race.4levelBlack",0.0391330161678451,0.0356991136223516,1.09619013462966,0.273029182170475,NA,7871
"race.4levelOther/Mixed",0.0719139899041982,0.0301602250558907,2.38439831834585,0.017130667625124,NA,7871
"hispyes",0.0319001174385069,0.0308613641968748,1.03365869489779,0.301327571639266,NA,7871
"logK",NA,NA,NA,NA,8e-05,NA
"logM",NA,NA,NA,NA,0.00478,NA
