"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.375031070500837,0.179653636391258,-2.08752284693017,0.0368730388933421,NA,7872
"scale(logK)",0.000627646294752408,0.011976853554944,0.0524049402351852,0.958207370201907,NA,7872
"scale(logM)",-0.0764439955080319,0.0122331330197237,-6.24893029322739,4.34817411568722e-10,NA,7872
"age",0.0028726450922793,0.00144568235638856,1.9870513599235,0.0469513789825124,NA,7872
"femaleyes",0.0230754094985263,0.0217494481859211,1.06096528524634,0.288738293432037,NA,7872
"household.income[<50K]",0.0610178487734798,0.0344167758527975,1.77291007834251,0.0762823489337062,NA,7872
"household.income[>=100K]",-0.100658340411905,0.0283838969694718,-3.54631855238792,0.000392929432629257,NA,7872
"high.educ< HS Diploma",0.038286406898577,0.0678689465924048,0.564122604237703,0.572686799423983,NA,7872
"high.educBachelor",0.00586186361971991,0.0490419290901639,0.119527590542836,0.904860438943813,NA,7872
"high.educPost Graduate Degree",-0.0320103601641773,0.0499788635377533,-0.640477952044612,0.521880598744655,NA,7872
"high.educSome College",0.105291908765169,0.0448950850388213,2.34528810167353,0.0190371286237495,NA,7872
"marriedno",0.0739516609826254,0.0292186004245209,2.53097889386117,0.0113938189568336,NA,7872
"race.4levelAsian",-0.0365471082536648,0.0738804328068539,-0.4946791303891,0.620840468557001,NA,7872
"race.4levelBlack",-0.0388955614809803,0.0359872528363236,-1.08081496684074,0.279812606976205,NA,7872
"race.4levelOther/Mixed",0.0629048766227717,0.0304121366086762,2.06841358869951,0.038633793771076,NA,7872
"hispyes",0.0397165928804733,0.0311016830195487,1.27699175814729,0.201642898686156,NA,7872
"logK",NA,NA,NA,NA,0,NA
"logM",NA,NA,NA,NA,0.00486,NA
