"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.26984744229243,0.18013263168016,-1.49804863103075,0.134160778157402,NA,7875
"scale(logK)",-0.00899937581535193,0.0119202121970712,-0.754967752802511,0.450290954414063,NA,7875
"scale(logM)",-0.050329268332668,0.0121576151369238,-4.13973199232253,3.5134567034428e-05,NA,7875
"age",0.00158402376939312,0.00143921666014969,1.1006152258051,0.271097865337235,NA,7875
"femaleyes",0.0294871598537532,0.0216380675263864,1.36274460821398,0.173002059805786,NA,7875
"household.income[<50K]",0.0661259646816166,0.0342985300475014,1.92795331432677,0.053896921222094,NA,7875
"household.income[>=100K]",-0.0915930728212399,0.0282368386719988,-3.24374388667201,0.0011846273607609,NA,7875
"high.educ< HS Diploma",0.0220234300081223,0.0676693088901762,0.325456700671574,0.744844112250941,NA,7875
"high.educBachelor",0.113411119217131,0.0487150598552602,2.32805049514653,0.0199346699033136,NA,7875
"high.educPost Graduate Degree",0.0279188813070325,0.049709653626058,0.561639023217762,0.574378002467211,NA,7875
"high.educSome College",0.145809451312883,0.0445516554672895,3.27281780628643,0.00106940986488075,NA,7875
"marriedno",0.157718161391256,0.029102986640415,5.41931188506386,6.160222290077e-08,NA,7875
"race.4levelAsian",-0.290839837841071,0.0733926335218135,-3.96279331977682,7.47335365479876e-05,NA,7875
"race.4levelBlack",-0.0899922457324313,0.0357815169832886,-2.51504836350178,0.0119213969903757,NA,7875
"race.4levelOther/Mixed",0.0894944788685522,0.0301928634493767,2.96409378390375,0.00304486755919619,NA,7875
"hispyes",-0.126002886054032,0.0309546353508494,-4.07056599523389,4.73587041910255e-05,NA,7875
"logK",NA,NA,NA,NA,7e-05,NA
"logM",NA,NA,NA,NA,0.00213,NA
