"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.562251080767514,0.173868751866963,-3.23376727980268,0.00122673695776909,NA,7875
"scale(logK)",0.00354706048081413,0.0115083024475296,0.308217523564958,0.757924987837906,NA,7875
"scale(logM)",-0.0375270533182664,0.0117292322116774,-3.19944670213837,0.00138238528452554,NA,7875
"age",0.00405394493071968,0.00138807282750566,2.92055636447011,0.00350400516494945,NA,7875
"femaleyes",0.0455654605098335,0.0208861726776625,2.18160891480923,0.0291679360415968,NA,7875
"household.income[<50K]",0.165065898541857,0.0331319005622335,4.98208360343845,6.42452324964072e-07,NA,7875
"household.income[>=100K]",-0.108358819705718,0.0272654365128054,-3.97421914205653,7.12423359700808e-05,NA,7875
"high.educ< HS Diploma",0.0565856998454169,0.065427990702122,0.86485461708641,0.387144986517128,NA,7875
"high.educBachelor",0.044006154571244,0.0470826303322379,0.934657946268405,0.349993322256826,NA,7875
"high.educPost Graduate Degree",-0.00294456918514334,0.0480436949463159,-0.061289398919746,0.951130291857066,NA,7875
"high.educSome College",0.119977079592508,0.0430063393253968,2.78975335902765,0.00528752530940597,NA,7875
"marriedno",0.183035280443247,0.0281249900895392,6.50792337563615,8.08695056640977e-11,NA,7875
"race.4levelAsian",-0.300254866532422,0.0705755780124188,-4.25437346725787,2.12066986981481e-05,NA,7875
"race.4levelBlack",-0.105448023091814,0.0345387704449879,-3.05303349636511,0.00227298056694698,NA,7875
"race.4levelOther/Mixed",0.0162185729118517,0.0290803914799002,0.557715081760908,0.57705484250857,NA,7875
"hispyes",-0.116826415052615,0.029912330071629,-3.90562737081526,9.47684302335101e-05,NA,7875
"logK",NA,NA,NA,NA,1e-05,NA
"logM",NA,NA,NA,NA,0.00127,NA
