"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.787196542001223,0.16638196382353,-4.731261273224,2.27024720852544e-06,NA,7875
"scale(logK)",0.0117887175646914,0.0109920082049255,1.07248078284812,0.283537071841589,NA,7875
"scale(logM)",-0.0419999629338596,0.0111891000375072,-3.75364978354565,0.000175534717148661,NA,7875
"age",0.00580784872250068,0.00132320439870217,4.389230211294,1.15239801486736e-05,NA,7875
"femaleyes",0.0435693194769306,0.0199362710574772,2.18542973012948,0.0288867716568834,NA,7875
"household.income[<50K]",0.140158174461919,0.0316734854803286,4.42509475469528,9.77003052451476e-06,NA,7875
"household.income[>=100K]",-0.139338009676203,0.0260388115890616,-5.35116624657079,8.98539571717625e-08,NA,7875
"high.educ< HS Diploma",0.0493069946891736,0.0626476380996051,0.787052731513664,0.431274731717235,NA,7875
"high.educBachelor",0.12312266407369,0.0450433224165752,2.73342767513933,0.00628191579137306,NA,7875
"high.educPost Graduate Degree",0.0610429181689796,0.0459598480321341,1.32817928654376,0.184157454829704,NA,7875
"high.educSome College",0.184865683214656,0.0410588969211945,4.50245128527134,6.81427225362326e-06,NA,7875
"marriedno",0.178626995725591,0.0269015401749144,6.64002858439159,3.34476651925971e-11,NA,7875
"race.4levelAsian",-0.330725824627517,0.0668817087657365,-4.94493682549193,7.77469308572357e-07,NA,7875
"race.4levelBlack",-0.212039471403388,0.0329804992238708,-6.42923777363312,1.35734851692426e-10,NA,7875
"race.4levelOther/Mixed",0.0269611325971808,0.0276440647613429,0.975295522924794,0.329443708988647,NA,7875
"hispyes",-0.107395752854278,0.0286027064902014,-3.75474093303267,0.000174773176290451,NA,7875
"logK",NA,NA,NA,NA,0.00014,NA
"logM",NA,NA,NA,NA,0.00172,NA
