"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-1.15788384010793,0.16024107103509,-7.22588680060915,5.4546806588564e-13,NA,7725
"scale(logK)",-0.0114433105846242,0.0105771215674028,-1.0818926975266,0.279334050856938,NA,7725
"scale(logM)",0.124322363169915,0.0107948293705536,11.516843750124,1.92373439745289e-30,NA,7725
"age",0.00793554047702374,0.00128174949473702,6.19117893910457,6.27739757969404e-10,NA,7725
"femaleyes",-0.0400441331547807,0.019272262949367,-2.07781168511381,0.0377597233875537,NA,7725
"household.income[<50K]",-0.135662222107063,0.0304183087514152,-4.45988707707989,8.31650944456688e-06,NA,7725
"household.income[>=100K]",0.0960052832011961,0.0250520635883764,3.83223054110961,0.000127995923880502,NA,7725
"high.educ< HS Diploma",-0.307962978568045,0.0598606834812447,-5.14466191593912,2.74610365573658e-07,NA,7725
"high.educBachelor",0.391229199770531,0.0431635065716648,9.06388824367107,1.57267003967487e-19,NA,7725
"high.educPost Graduate Degree",0.635927811567766,0.0440357712978305,14.4411643721816,1.15430462504006e-46,NA,7725
"high.educSome College",0.180318381821936,0.0396907604618923,4.54308206049775,5.62813349070083e-06,NA,7725
"marriedno",-0.0600728212872362,0.0256772601907009,-2.33953392383319,0.0193332100939836,NA,7725
"race.4levelAsian",0.167780585327754,0.0648369171246275,2.58773231005496,0.00967912266067659,NA,7725
"race.4levelBlack",-0.424864034410013,0.0317772763793857,-13.3700581930812,2.53909707157342e-40,NA,7725
"race.4levelOther/Mixed",-0.0443292007590892,0.0268004530193709,-1.65404669566775,0.0981587380327892,NA,7725
"hispyes",-0.154055325173727,0.0272673610025731,-5.64980693068133,1.66348341080073e-08,NA,7725
"logK",NA,NA,NA,NA,0.00015,NA
"logM",NA,NA,NA,NA,0.01652,NA
