"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",2.61982587263253,0.181570586739155,14.4286909002293,1.63251092787703e-46,NA,6870
"scale(logK)",0.0153999233458771,0.0120439588947245,1.27864296785524,0.201066104678183,NA,6870
"scale(logM)",0.128144031050334,0.0122360351437529,10.4726759562928,1.79447925881172e-25,NA,6870
"age",-0.0225715789825542,0.00144817042323477,-15.5862725963815,7.52198360597689e-54,NA,6870
"femaleyes",-0.210913862252577,0.0216670151042917,-9.73432940519805,2.99786295558974e-22,NA,6870
"household.income[<50K]",-0.102980831571702,0.0349268970426843,-2.94846780822952,0.0032043142558927,NA,6870
"household.income[>=100K]",0.0910673639259051,0.027859478453404,3.26881079551502,0.00108533027742335,NA,6870
"high.educ< HS Diploma",-0.164735686203752,0.0720956957001695,-2.2849586872544,0.0223456613347236,NA,6870
"high.educBachelor",0.284610075924609,0.0509345069095269,5.58776541078824,2.38845750360261e-08,NA,6870
"high.educPost Graduate Degree",0.405167049877599,0.05174774235469,7.82965655004808,5.63105121091582e-15,NA,6870
"high.educSome College",0.120134360582661,0.0475033794543423,2.52896450658058,0.011462203955368,NA,6870
"marriedno",-0.00982464543293908,0.0294717832671652,-0.333357684666636,0.738874497826712,NA,6870
"race.4levelAsian",-0.00943681426967971,0.074822970422246,-0.12612188765596,0.899639141258528,NA,6870
"race.4levelBlack",-0.396152226164078,0.0373751026786635,-10.5993615474462,4.76924085267536e-26,NA,6870
"race.4levelOther/Mixed",-0.096992072044368,0.0302940290685558,-3.20168940964814,0.00137248150747781,NA,6870
"hispyes",-0.174147594326597,0.0311682685300745,-5.58733617680947,2.39433959031025e-08,NA,6870
"logK",NA,NA,NA,NA,0.00023,NA
"logM",NA,NA,NA,NA,0.0155,NA
