"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-1.42794957497552,0.158795908479465,-8.99235747727203,3.00549087542678e-19,NA,7690
"scale(logK)",0.00503286577283349,0.010560214188536,0.476587470952727,0.63366947638317,NA,7690
"scale(logM)",0.121815380472868,0.0107739383688931,11.3064857345553,2.08047004207589e-29,NA,7690
"age",0.00998081699832333,0.0012724107705045,7.84402115235634,4.95253620290239e-15,NA,7690
"femaleyes",0.0325116861277767,0.0191593848900928,1.69690657159815,0.0897548776728649,NA,7690
"household.income[<50K]",-0.158226894405425,0.0302195609747846,-5.23590976511705,1.68529658663838e-07,NA,7690
"household.income[>=100K]",0.0963114479387432,0.0248906345244007,3.86938500279402,0.000110013769203623,NA,7690
"high.educ< HS Diploma",-0.229238535108152,0.0602946866007636,-3.80196909598413,0.000144662945820959,NA,7690
"high.educBachelor",0.385373659014959,0.0428186474257937,9.0001362066101,2.80206423406497e-19,NA,7690
"high.educPost Graduate Degree",0.627037033292437,0.0436763504675298,14.3564429394941,3.83142042394865e-46,NA,7690
"high.educSome College",0.18278965728971,0.0393919417463839,4.64028045295558,3.53708703310539e-06,NA,7690
"marriedno",-0.070916228270947,0.0255763999229662,-2.77272127760514,0.00557238348524082,NA,7690
"race.4levelAsian",0.254034821732024,0.0646061570608766,3.93205281491444,8.4964778899821e-05,NA,7690
"race.4levelBlack",-0.493523082407586,0.0317027011429034,-15.5672250191861,8.04202901699126e-54,NA,7690
"race.4levelOther/Mixed",-0.0446379465322465,0.0266331815067927,-1.67602757187915,0.093773527608946,NA,7690
"hispyes",-0.146690145686777,0.0272422936500694,-5.38464740051001,7.47359756827372e-08,NA,7690
"logK",NA,NA,NA,NA,3e-05,NA
"logM",NA,NA,NA,NA,0.0161,NA
